PhraseId,Sentiment
156061,3
156062,2
156063,2
156064,2
156065,2
156066,2
156067,2
156068,2
156069,2
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,4
156077,3
156078,4
156079,2
156080,2
156081,2
156082,2
156083,3
156084,2
156085,2
156086,2
156087,2
156088,2
156089,3
156090,2
156091,3
156092,3
156093,3
156094,3
156095,2
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,3
156129,2
156130,3
156131,2
156132,3
156133,2
156134,2
156135,2
156136,3
156137,2
156138,3
156139,1
156140,1
156141,1
156142,2
156143,3
156144,3
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,1
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,1
156167,2
156168,2
156169,2
156170,2
156171,2
156172,2
156173,2
156174,2
156175,2
156176,2
156177,2
156178,2
156179,2
156180,2
156181,1
156182,2
156183,1
156184,2
156185,1
156186,2
156187,2
156188,2
156189,2
156190,2
156191,1
156192,2
156193,2
156194,1
156195,2
156196,1
156197,1
156198,1
156199,2
156200,2
156201,2
156202,2
156203,2
156204,2
156205,2
156206,3
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,2
156216,2
156217,2
156218,2
156219,2
156220,2
156221,2
156222,4
156223,2
156224,2
156225,2
156226,2
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,3
156237,2
156238,3
156239,2
156240,2
156241,2
156242,2
156243,2
156244,2
156245,2
156246,2
156247,2
156248,2
156249,2
156250,1
156251,2
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,2
156259,2
156260,2
156261,2
156262,2
156263,2
156264,2
156265,2
156266,2
156267,2
156268,2
156269,2
156270,2
156271,2
156272,3
156273,2
156274,3
156275,3
156276,3
156277,3
156278,3
156279,3
156280,3
156281,3
156282,3
156283,3
156284,2
156285,2
156286,3
156287,3
156288,3
156289,3
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,2
156297,2
156298,2
156299,2
156300,2
156301,2
156302,2
156303,2
156304,2
156305,2
156306,2
156307,2
156308,2
156309,2
156310,2
156311,2
156312,2
156313,2
156314,2
156315,2
156316,2
156317,2
156318,2
156319,2
156320,2
156321,2
156322,2
156323,2
156324,3
156325,3
156326,2
156327,2
156328,3
156329,3
156330,2
156331,2
156332,2
156333,3
156334,2
156335,2
156336,3
156337,3
156338,3
156339,3
156340,2
156341,2
156342,2
156343,2
156344,2
156345,2
156346,3
156347,3
156348,3
156349,2
156350,2
156351,2
156352,2
156353,2
156354,1
156355,2
156356,2
156357,3
156358,3
156359,2
156360,3
156361,2
156362,1
156363,2
156364,1
156365,3
156366,2
156367,3
156368,3
156369,3
156370,3
156371,3
156372,3
156373,2
156374,3
156375,3
156376,2
156377,3
156378,3
156379,2
156380,2
156381,2
156382,2
156383,2
156384,1
156385,1
156386,2
156387,2
156388,2
156389,2
156390,2
156391,2
156392,2
156393,2
156394,2
156395,2
156396,1
156397,2
156398,1
156399,2
156400,1
156401,2
156402,2
156403,1
156404,1
156405,3
156406,4
156407,4
156408,4
156409,2
156410,4
156411,3
156412,3
156413,1
156414,1
156415,2
156416,1
156417,3
156418,3
156419,3
156420,2
156421,2
156422,3
156423,3
156424,3
156425,3
156426,3
156427,2
156428,2
156429,2
156430,2
156431,2
156432,2
156433,1
156434,1
156435,2
156436,2
156437,2
156438,2
156439,2
156440,2
156441,2
156442,2
156443,2
156444,2
156445,2
156446,1
156447,2
156448,1
156449,2
156450,2
156451,1
156452,1
156453,2
156454,2
156455,2
156456,2
156457,2
156458,2
156459,2
156460,2
156461,2
156462,2
156463,2
156464,2
156465,2
156466,2
156467,2
156468,2
156469,2
156470,2
156471,2
156472,2
156473,1
156474,2
156475,1
156476,2
156477,2
156478,2
156479,2
156480,2
156481,2
156482,2
156483,2
156484,2
156485,2
156486,2
156487,1
156488,2
156489,2
156490,2
156491,2
156492,2
156493,2
156494,2
156495,2
156496,2
156497,2
156498,2
156499,2
156500,2
156501,2
156502,2
156503,2
156504,2
156505,1
156506,1
156507,1
156508,2
156509,2
156510,2
156511,2
156512,2
156513,2
156514,2
156515,2
156516,2
156517,2
156518,2
156519,2
156520,2
156521,2
156522,2
156523,2
156524,2
156525,2
156526,2
156527,2
156528,2
156529,2
156530,2
156531,2
156532,2
156533,2
156534,2
156535,2
156536,2
156537,3
156538,1
156539,1
156540,1
156541,1
156542,1
156543,2
156544,3
156545,3
156546,2
156547,2
156548,3
156549,2
156550,3
156551,3
156552,3
156553,2
156554,2
156555,3
156556,2
156557,2
156558,2
156559,2
